EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:34:58	0	0.1000	2.527608566041463	2.059873580932617	0.3797	0.3797	0.3797	0.3797
2	17:35:11	0	0.1000	1.9090732562327055	1.701104760169983	0.5115	0.5115	0.5115	0.5115
3	17:35:25	0	0.1000	1.6193697010092871	1.4447882175445557	0.5594	0.5594	0.5594	0.5594
4	17:35:39	0	0.1000	1.4314656909930492	1.2875179052352905	0.5714	0.5714	0.5714	0.5714
5	17:35:53	0	0.1000	1.3297093412656167	1.2213255167007446	0.577	0.577	0.577	0.577
6	17:36:07	0	0.1000	1.2217663049950707	1.101011037826538	0.6479	0.6479	0.6479	0.6479
7	17:36:20	1	0.1000	1.1453577165006958	1.0925477743148804	0.6249	0.6249	0.6249	0.6249
8	17:36:32	0	0.1000	1.102639369216223	0.9754950404167175	0.6793	0.6793	0.6793	0.6793
9	17:36:46	1	0.1000	1.060815141663698	0.9628021717071533	0.6737	0.6737	0.6737	0.6737
10	17:36:57	0	0.1000	1.0107488055750016	0.921704888343811	0.6885	0.6885	0.6885	0.6885
