| end of split   1 /  2 | epoch   1 | time:  3.05s | valid loss 2.8459 | valid ppl 17.2164 | learning rate 20.0000
| end of split   2 /  2 | epoch   1 | time:  3.07s | valid loss 2.7998 | valid ppl 16.4415 | learning rate 20.0000
| end of split   1 /  2 | epoch   2 | time:  3.32s | valid loss 2.8426 | valid ppl 17.1604 | learning rate 20.0000
| end of split   2 /  2 | epoch   2 | time:  3.15s | valid loss 2.6601 | valid ppl 14.2979 | learning rate 20.0000
| end of split   1 /  2 | epoch   3 | time:  3.29s | valid loss 2.7760 | valid ppl 16.0541 | learning rate 20.0000
| end of split   2 /  2 | epoch   3 | time:  3.81s | valid loss 2.7469 | valid ppl 15.5947 | learning rate 20.0000
| end of split   1 /  2 | epoch   4 | time:  3.22s | valid loss 2.7050 | valid ppl 14.9539 | learning rate 20.0000
| end of split   2 /  2 | epoch   4 | time:  3.62s | valid loss 2.6084 | valid ppl 13.5768 | learning rate 20.0000
| end of split   1 /  2 | epoch   5 | time:  3.83s | valid loss 2.7611 | valid ppl 15.8178 | learning rate 20.0000
| end of split   2 /  2 | epoch   5 | time:  3.55s | valid loss 2.5809 | valid ppl 13.2093 | learning rate 20.0000
| end of split   1 /  2 | epoch   6 | time:  3.85s | valid loss 2.6480 | valid ppl 14.1257 | learning rate 20.0000
| end of split   2 /  2 | epoch   6 | time:  3.58s | valid loss 2.6268 | valid ppl 13.8292 | learning rate 20.0000
| end of split   1 /  2 | epoch   7 | time:  3.65s | valid loss 2.6097 | valid ppl 13.5954 | learning rate 20.0000
| end of split   2 /  2 | epoch   7 | time:  3.85s | valid loss 2.7453 | valid ppl 15.5687 | learning rate 20.0000
| end of split   1 /  2 | epoch   8 | time:  3.15s | valid loss 2.6288 | valid ppl 13.8575 | learning rate 20.0000
| end of split   2 /  2 | epoch   8 | time:  3.15s | valid loss 2.7346 | valid ppl 15.4034 | learning rate 20.0000
| end of split   1 /  2 | epoch   9 | time:  3.11s | valid loss 2.5945 | valid ppl 13.3901 | learning rate 20.0000
| end of split   2 /  2 | epoch   9 | time:  3.55s | valid loss 2.5937 | valid ppl 13.3796 | learning rate 20.0000
| end of split   1 /  2 | epoch  10 | time:  4.49s | valid loss 2.6551 | valid ppl 14.2271 | learning rate 20.0000
| end of split   2 /  2 | epoch  10 | time:  4.23s | valid loss 2.6813 | valid ppl 14.6038 | learning rate 20.0000
TEST: valid loss 2.6342 | valid ppl  13.9325
| end of split   1 /  2 | epoch   1 | time:  2.01s | valid loss 3.4312 | valid ppl 30.9126 | learning rate 20.0000
| end of split   2 /  2 | epoch   1 | time:  1.99s | valid loss 3.0521 | valid ppl 21.1588 | learning rate 20.0000
| end of split   1 /  2 | epoch   2 | time:  2.19s | valid loss 2.8331 | valid ppl 16.9987 | learning rate 20.0000
| end of split   2 /  2 | epoch   2 | time:  3.01s | valid loss 2.7646 | valid ppl 15.8719 | learning rate 20.0000
| end of split   1 /  2 | epoch   3 | time:  2.13s | valid loss 2.7386 | valid ppl 15.4656 | learning rate 20.0000
| end of split   2 /  2 | epoch   3 | time:  2.15s | valid loss 2.6735 | valid ppl 14.4907 | learning rate 20.0000
| end of split   1 /  2 | epoch   4 | time:  2.97s | valid loss 2.8316 | valid ppl 16.9732 | learning rate 20.0000
| end of split   2 /  2 | epoch   4 | time:  2.90s | valid loss 2.6557 | valid ppl 14.2344 | learning rate 20.0000
| end of split   1 /  2 | epoch   5 | time:  3.17s | valid loss 2.6414 | valid ppl 14.0333 | learning rate 20.0000
| end of split   2 /  2 | epoch   5 | time:  2.54s | valid loss 2.6371 | valid ppl 13.9726 | learning rate 20.0000
| end of split   1 /  2 | epoch   6 | time:  2.17s | valid loss 2.5913 | valid ppl 13.3475 | learning rate 20.0000
| end of split   2 /  2 | epoch   6 | time:  2.28s | valid loss 2.5360 | valid ppl 12.6295 | learning rate 20.0000
| end of split   1 /  2 | epoch   7 | time:  2.34s | valid loss 2.7221 | valid ppl 15.2124 | learning rate 20.0000
